Dates,IPC
Mar 2003,"5,914.03"
Abr 2003,"6,509.88"
May 2003,"6,699.18"
Jun 2003,"7,054.99"
Jul 2003,"7,355.07"
Ago 2003,"7,591.42"
Sep 2003,"7,822.48"
Oct 2003,"8,064.83"
Nov 2003,"8,554.48"
Dic 2003,"8,795.28"
Ene 2004,"9,428.77"
Feb 2004,"9,991.80"
Mar 2004,"10,517.50"
Abr 2004,"9,948.13"
May 2004,"10,036.29"
Jun 2004,"10,281.82"
Jul 2004,"10,116.39"
Ago 2004,"10,264.32"
Sep 2004,"10,957.37"
Oct 2004,"11,564.35"
Nov 2004,"12,102.55"
Dic 2004,"12,917.88"
Ene 2005,"13,097.12"
Feb 2005,"13,789.46"
Mar 2005,"12,676.90"
Abr 2005,"12,322.99"
May 2005,"12,964.39"
Jun 2005,"13,486.13"
Jul 2005,"14,409.66"
Ago 2005,"14,243.19"
Sep 2005,"16,120.08"
Oct 2005,"15,759.73"
Nov 2005,"16,830.96"
Dic 2005,"17,802.71"
Ene 2006,"18,907.10"
Feb 2006,"18,706.32"
Mar 2006,"19,272.63"
Abr 2006,"20,646.19"
May 2006,"18,677.92"
Jun 2006,"19,147.17"
Jul 2006,"20,095.93"
Ago 2006,"21,049.35"
Sep 2006,"21,937.11"
Oct 2006,"23,046.95"
Nov 2006,"24,962.01"
Dic 2006,"26,448.32"
Ene 2007,"27,561.49"
Feb 2007,"26,638.95"
Mar 2007,"28,747.69"
Abr 2007,"28,996.71"
May 2007,"31,398.96"
Jun 2007,"31,151.05"
Jul 2007,"30,659.66"
Ago 2007,"30,347.86"
Sep 2007,"30,296.19"
Oct 2007,"31,458.67"
Nov 2007,"29,770.52"
Dic 2007,"29,536.83"
Ene 2008,"28,793.64"
Feb 2008,"28,918.52"
Mar 2008,"30,912.99"
Abr 2008,"30,281.41"
May 2008,"31,975.47"
Jun 2008,"29,395.49"
Jul 2008,"27,501.02"
Ago 2008,"26,290.99"
Sep 2008,"24,888.90"
Oct 2008,"20,445.32"
Nov 2008,"20,534.72"
Dic 2008,"22,380.32"
Ene 2009,"19,565.14"
Feb 2009,"17,752.18"
Mar 2009,"19,626.75"
Abr 2009,"21,898.85"
May 2009,"24,331.71"
Jun 2009,"24,368.38"
Jul 2009,"27,043.50"
Ago 2009,"28,129.95"
Sep 2009,"29,232.24"
Oct 2009,"28,646.03"
Nov 2009,"30,957.11"
Dic 2009,"32,120.47"
Ene 2010,"30,391.61"
Feb 2010,"31,634.54"
Mar 2010,"33,266.43"
Abr 2010,"32,687.32"
May 2010,"32,038.53"
Jun 2010,"31,156.97"
Jul 2010,"32,308.74"
Ago 2010,"31,679.85"
Sep 2010,"33,330.34"
Oct 2010,"35,568.22"
Nov 2010,"36,817.32"
Dic 2010,"38,550.79"
Ene 2011,"36,982.24"
Feb 2011,"37,019.70"
Mar 2011,"37,440.51"
Abr 2011,"36,962.62"
May 2011,"35,832.79"
Jun 2011,"36,558.07"
Jul 2011,"35,999.34"
Ago 2011,"35,721.10"
Sep 2011,"33,503.28"
Oct 2011,"36,159.99"
Nov 2011,"36,829.15"
Dic 2011,"37,077.52"
Ene 2012,"37,422.68"
Feb 2012,"37,816.69"
Mar 2012,"39,521.24"
Abr 2012,"39,461.00"
May 2012,"37,872.95"
Jun 2012,"40,199.55"
Jul 2012,"40,704.28"
Ago 2012,"39,421.65"
Sep 2012,"40,866.96"
Oct 2012,"41,619.96"
Nov 2012,"41,833.52"
Dic 2012,"43,705.83"
Ene 2013,"45,278.06"
Feb 2013,"44,120.99"
Mar 2013,"44,077.09"
Abr 2013,"42,263.48"
May 2013,"41,588.32"
Jun 2013,"40,623.30"
Jul 2013,"40,837.88"
Ago 2013,"39,492.37"
Sep 2013,"40,185.23"
Oct 2013,"41,038.65"
Nov 2013,"42,499.13"
Dic 2013,"42,727.09"
Ene 2014,"40,879.75"
Feb 2014,"38,782.89"
Mar 2014,"40,461.60"
Abr 2014,"40,711.56"
May 2014,"41,362.51"
Jun 2014,"42,737.17"
Jul 2014,"43,817.69"
Ago 2014,"45,628.09"
Sep 2014,"44,985.66"
Oct 2014,"45,027.52"
Nov 2014,"44,190.47"
Dic 2014,"43,145.66"
Ene 2015,"40,950.58"
Feb 2015,"44,190.17"
Mar 2015,"43,724.78"
Abr 2015,"44,582.39"
May 2015,"44,703.62"
Jun 2015,"45,053.70"
Jul 2015,"44,752.93"
Ago 2015,"43,721.96"
Sep 2015,"42,632.54"
Oct 2015,"44,542.76"
Nov 2015,"43,418.55"
Dic 2015,"42,977.50"
Ene 2016,"43,630.77"
Feb 2016,"43,714.93"
Mar 2016,"45,881.08"
Abr 2016,"45,784.77"
May 2016,"45,459.45"
Jun 2016,"45,966.49"
Jul 2016,"46,660.67"
Ago 2016,"47,541.32"
Sep 2016,"47,245.80"
Oct 2016,"48,009.28"
