Date,US_GNI
1999Q3,"9,756.30"
1999Q4,"9,970.80"
2000Q1,"10,247.40"
2000Q2,"10,365.20"
2000Q3,"10,505.00"
2000Q4,"10,567.40"
2001Q1,"10,742.30"
2001Q2,"10,807.50"
2001Q3,"10,781.50"
2001Q4,"10,823.20"
2002Q1,"10,957.80"
2002Q2,"11,047.00"
2002Q3,"11,124.70"
2002Q4,"11,266.10"
2003Q1,"11,339.20"
2003Q2,"11,494.50"
2003Q3,"11,668.00"
2003Q4,"11,864.00"
2004Q1,"12,075.60"
2004Q2,"12,279.70"
2004Q3,"12,505.40"
2004Q4,"12,630.00"
2005Q1,"12,903.70"
2005Q2,"13,077.90"
2005Q3,"13,325.30"
2005Q4,"13,580.20"
2006Q1,"13,946.40"
2006Q2,"14,074.10"
2006Q3,"14,214.30"
2006Q4,"14,328.30"
2007Q1,"14,453.20"
2007Q2,"14,576.50"
2007Q3,"14,604.50"
2007Q4,"14,708.60"
2008Q1,"14,802.20"
2008Q2,"14,867.90"
2008Q3,"14,920.90"
2008Q4,"14,573.80"
2009Q1,"14,395.00"
2009Q2,"14,368.90"
2009Q3,"14,489.40"
2009Q4,"14,724.50"
2010Q1,"14,826.80"
2010Q2,"14,995.70"
2010Q3,"15,251.30"
2010Q4,"15,410.70"
2011Q1,"15,510.60"
2011Q2,"15,698.80"
2011Q3,"15,917.30"
2011Q4,"16,084.90"
2012Q1,"16,443.80"
2012Q2,"16,521.60"
2012Q3,"16,608.80"
2012Q4,"16,810.20"
2013Q1,"16,862.60"
2013Q2,"16,997.30"
2013Q3,"17,120.10"
2013Q4,"17,315.00"
2014Q1,"17,477.10"
2014Q2,"17,791.00"
2014Q3,"18,078.20"
2014Q4,"18,250.30"
2015Q1,"18,301.60"
2015Q2,"18,414.90"
2015Q3,"18,568.60"
2015Q4,"18,699.00"
2016Q1,"18,718.50"
2016Q2,"18,850.50"
